Supplier_Name,PWSID,Stage_Invoked,Mandatory_Restrictions,Reporting_Month,Production_Reported,2013_Production_Reported,CII_Reported,Agriculture_Reported,2013_Agriculture_Reported,Recycled_Reported,Units,Qualification,Population_Served,R_GPCD_Reported,Enforcement_Actions,Implementation,Conservation_Standard,Ag_Cert,Production_Calculated,2013_Production_Calculated,CII_Calculated,R_GPCD_Calculated,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,Watering_Days_Per_Week,Complaints,Follow_Ups,Warnings,Penalties_Rate,Penalties_Other,Enforcement_Comments
Fortuna  City of,CA1210006,1,No,3/15/2017,31.7,33.7,0,0,0,0,MG,NA,12032,72,NA,NA,0,No,31700000,33700000,Null,69.69050275,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,2/15/2017,27.2,28.3,0,0,0,0,MG,NA,12032,61.8,NA,NA,0,No,27200000,28300000,Null,66.20440729,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,1/15/2017,30.5,30.1,0,0,0,0,MG,NA,12032,69.3,NA,NA,0,No,30500000,30100000,Null,67.05237646,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,12/15/2016,29,32.6,0,0,0,0,MG,NA,12032,65.9,NA,NA,0,No,2.90E+07,32600000,Null,63.7547186,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,11/15/2016,28.1,34.8,0,0,0,0,MG,NA,12032,63.8,NA,NA,0,No,28100000,34800000,Null,63.83532801,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,10/15/2016,32.3,35.5,0,0,0,0,MG,NA,12032,73.4,NA,NA,0,No,32300000,35500000,Null,71.00956589,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,9/15/2016,41.2,43.1,0,0,0,0,MG,NA,12032,93.6,NA,NA,0,No,41200000,43100000,Null,93.59485816,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,1,No,8/15/2016,44.5,49,0,0,0,0,MG,NA,12032,101,NA,NA,0,No,44500000,4.90E+07,Null,97.83051647,82,No Correction,North Coast,7,1,1,0,0,0,NA
Fortuna  City of,CA1210006,1,No,7/15/2016,41.6,42,0,0,0,0,MG,NA,12032,94.5,NA,NA,0,No,41600000,4.20E+07,Null,91.45504461,82,No Correction,North Coast,7,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,6/15/2016,38.9,36.1,0,0,0,0,MG,NA,12032,88.4,NA,NA,0,No,38900000,36100000,Null,88.36990248,82,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,5/15/2016,30.2,46.6,0,0,0,0,MG,NA,12032,68.6,NA,NA,0.2,No,30200000,46600000,Null,66.39284489,82,No Correction,North Coast,4,1,1,1,0,0,NA
Fortuna  City of,CA1210006,2,Yes,4/15/2016,28.3,37.2,0,0,0,0,MG,NA,12032,64.3,NA,NA,0.2,No,28300000,37200000,Null,64.28967199,82,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,3/15/2016,28.4,33.7,0,0,0,0,MG,NA,12032,64.5,NA,NA,0.2,No,28400000,33700000,Null,62.43565546,82,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,2/15/2016,32.5,28.3,0,0,0,0,MG,NA,11926,76.4,NA,NA,0.24,No,31379310.34,28300000,Null,77.05563619,82,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,1/15/2016,33.3,30.1,0.538,0,0,0,MG,NA,12032,77.5,NA,NA,0.24,No,33300000,30100000,538000,74.99356555,84,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,12/15/2015,29.8,32.5,0,0,0,NA,MG,NA,11926,66,NA,NA,0.24,No,29800000,32500000,Null,64.48367081,80,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,11/15/2015,29.2,32.3,0,0,0,NA,MG,NA,12032,64.7,NA,NA,0.24,No,29200000,32300000,Null,64.71631206,80,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,10/15/2015,33.4,34.6,NA,NA,NA,NA,MG,NA,12032,74,NA,NA,0.24,No,33400000,34600000,Null,71.63692519,80,No Correction,North Coast,4,2,1,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,9/15/2015,34.2,43.1,0,0,NA,0,MG,NA,12032,77.7,NA,NA,0.24,No,34200000,43100000,Null,77.69281915,82,No Correction,North Coast,4,4,4,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,8/15/2015,39.8,50.7,6.6,0,0,0,MG,We have been submitting reports showing 100% residential usage. Recent in-depth analysis of our data based upon actual billing figures revealed the significant deviation from this 100% residential percentage figure. With better data and more accurate calculations our residential usage is considerably lower at 81% more-realistic residential percentage figure for the month.,12032,89.31,Sent letter of violation.,NA,0.24,No,39800000,50700000,6600000,86.43080817,81,No Correction,North Coast,4,7,7,1,0,0,Sent letter of violation.
Fortuna  City of,CA1210006,2,Yes,7/15/2015,41,42,0,0,0,0,MG,"81,837 gallons were used for fire suppression by CalFire  9/8/17 - corrections to 2013 baseline from 52 to 42 MG",12032,113.5,NA,NA,0.24,No,4.10E+07,4.20E+07,Null,109.9219286,100,No Correction,North Coast,4,5,5,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,6/15/2015,38.3,50.8,0,0,0,0,MG,"103,517 Gallons used for fire suppression by CalFire",12032,106.1,NA,NA,0.24,No,38300000,50800000,Null,106.1059397,100,No Correction,North Coast,3,5,5,1,0,0,NA
Fortuna  City of,CA1210006,2,Yes,5/15/2015,32.537,36.908,NA,NA,NA,0,MG,NA,12032,90,1st warning letter sent to one customer for watering on a restricted day x2.,NA,NULL,No,32537000,36908000,Null,87.23243394,100,No Correction,North Coast,4,6,6,1,0,0,1st warning letter sent to one customer for watering on a restricted day x2.
Fortuna  City of,CA1210006,2,Yes,4/15/2015,28.3,37.2,0,0,0,0,MG,NA,12032,64.3,NA,NA,NULL,No,28300000,37200000,Null,64.28967199,82,No Correction,North Coast,4,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,3/15/2015,31.8,33.7,NA,NA,NA,NA,MG,NA,11926,88.8,NA,NA,NULL,No,31800000,33700000,Null,86.01429244,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,2/15/2015,26.077,29.808,NA,NA,NA,NA,MG,NA,11926,76.9,NA,NA,NULL,No,26077000,29808000,Null,78.09168443,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,1/15/2015,31.9,29.2,NA,NA,NA,NA,MG,NA,11926,86.3,NA,NA,NULL,No,31900000,29200000,Null,86.28477763,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,12/15/2014,27.8,32.5,NA,NA,NA,NA,MG,NA,11926,80.8,NA,NA,NULL,No,27800000,32500000,Null,75.19488458,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,11/15/2014,27.2,32.3,NA,NA,NA,NA,MG,NA,11926,76,NA,NA,NULL,No,27200000,32300000,Null,76.02437252,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,10/15/2014,31,34.6,NA,NA,NA,NA,MG,NA,11926,83.8,NA,NA,NULL,No,3.10E+07,34600000,Null,83.85041087,100,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,No,9/15/2014,36.7,43.1,6.4,NA,NA,NA,MG,We are resubmitting this report to modify the % of residential usage. As the person in charge of reporting I should have been more diligent and caught this oversight sooner. Recent in-depth analysis of our data based upon actual billing figures from July-September of 2014 revealed the significant deviation from the reported 100% residential percentage to a 81% more-realistic residential percentage figure for September 2014.,11926,83.1,NA,NA,NULL,No,36700000,43100000,6400000,83.08737213,81,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,Yes,8/15/2014,49.2,50.7,8.8,0,0,0,MG,We are resubmitting this report to modify the % of residential usage. As the person in charge of reporting I should have been more diligent and caught this oversight sooner. Recent in-depth analysis of our data based upon actual billing figures from July-September of 2014 revealed the significant deviation from the reported 100% residential percentage to a 79% more-realistic residential percentage figure for August 2014.,11926,108,NA,NA,NULL,No,49200000,50700000,8800000,105.1321861,79,No Correction,North Coast,NA,0,0,0,0,0,NA
Fortuna  City of,CA1210006,2,No,7/15/2014,47.1,42,10.7,0,0,0,MG,We are resubmitting this report to modify the % of residential usage. As the person in charge of reporting I should have been more diligent and caught this oversight sooner. Recent in-depth analysis of our data based upon actual billing figures from July-September of 2014 revealed the significant deviation from the reported 100% residential percentage to a 78% more-realistic residential percentage figure for July 2014.  9/8/17 - corrections to 2013 baseline from 52 to 42 MG,11926,102.6,NA,NA,NULL,No,47100000,4.20E+07,10700000,99.37085143,78,No Correction,North Coast,NA,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,2/15/2019,25650228,33150892,7695068,0,0,160000,G,NA,12061,48,NA,NA,NULL,No,25650228,33150892,7695068,53.16770583,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,1/15/2019,30421048,32991364,9126314,0,0,183736,G,NA,12061,57,NA,NA,NULL,No,30421048,32991364,9126314,56.95438938,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,12/15/2018,29756820,39286504,8927046,0,0,25734,G,NA,11769,57,NA,NA,NULL,No,29756820,39286504,8927046,57.09305749,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,11/15/2018,47579484,46770676,14273845,0,0,2206943,G,NA,11769,94,NA,NA,NULL,No,47579484,46770676,14273845,94.33154559,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,10/15/2018,71210012,65738316,21363004,0,0,1877548,G,NA,11769,137,NA,NA,NULL,No,71210012,65738316,21363004,136.6274121,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,9/15/2018,67757028,74406424,20327108,0,0,3462733,G,10/25/18- WB staff edited Percent Residential Use,11769,134,NA,NA,NULL,No,67757028,74406424,20327108,134.3357397,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,8/15/2018,76856160,77716004,23056848,0,0,6168566,G,NA,11769,147,NA,NA,NULL,No,76856160,77716004,23056848,147.4604195,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,7/15/2018,71964560,81123708,21589368,0,0,2727189,G,NA,11769,138,NA,NA,NULL,No,71964560,81123708,21589368,138.075129,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,6/15/2018,74232676,72658544,22269802,0,0,4809656,G,NA,11769,147,NA,NA,NULL,No,74232676,72658544,22269802,147.1744221,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,5/15/2018,57699768,73161832,17309930,0,0,2279259,G,NA,11769,111,NA,NA,NULL,No,57699768,73161832,17309930,110.7059212,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,4/15/2018,34035284,52065064,10210585,0,0,454771,G,NA,11769,67,NA,NA,NULL,No,34035284,52065064,10210585,67.47868355,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,3/15/2018,29392284,41245252,8817685,0,0,221648,G,NA,11769,56,NA,NA,NULL,No,29392284,41245252,8817685,56.39363884,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,2/15/2018,28250680,33150892,8475204,0,0,212647,G,NA,11769,60,NA,NA,NULL,No,28250680,33150892,8475204,60.01079106,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,1/15/2018,26407404,32991364,7922221,0,0,69960,G,NA,11769,51,NA,NA,NULL,No,26407404,32991364,7922221,50.66668531,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,12/15/2017,30528012,39286504,9158404,0,0,8792,G,NA,11734,59,NA,NA,NULL,No,30528012,39286504,9158404,58.74741831,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,11/15/2017,34036568,46770676,10210970,0,0,67320,G,NA,11734,68,NA,NA,NULL,No,34036568,46770676,10210970,67.68251122,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,10/15/2017,64439760,65738316,19331928,0,0,845277,G,NA,11734,124,NA,NA,NULL,No,64439760,65738316,19331928,124.0064219,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,9/15/2017,67137508,74406424,20141252,0,0,2135809,G,NA,11734,134,NA,NA,NULL,No,67137508,74406424,20141252,133.5045043,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP invoked,No,8/15/2017,72425208,77716004,21727562,0,0,3278746,G,NA,11734,139,NA,NA,NULL,No,72425208,77716004,21727562,139.3734381,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,7/15/2017,78131548,81123708,23439464,0,0,3134101,G,NA,11734,150,NA,NA,NULL,No,78131548,81123708,23439464,150.3545902,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,6/15/2017,66836508,72658544,20050952,0,0,1895000,G,NA,11734,133,NA,NA,NULL,No,66836508,72658544,20050952,132.9059588,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,5/15/2017,60419420,73160000,18125826,0,0,554053,G,NA,11541,116,NA,NA,NULL,No,60419420,73160000,18125826,118.2141482,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,4/15/2017,31319084,52065064,9395725,0,0,87080,G,NA,11541,62,NA,NA,0,No,31319084,52065064,9395725,63.3202172,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,3/15/2017,28559656,41245252,8567897,0,0,160000,G,NA,11541,55,NA,NA,0,No,28559656,41245252,8567897,55.8786464,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,2/15/2017,25099344,33150892,7529803,0,0,26700,G,NA,11734,53,NA,NA,0,No,25099344,33150892,7529803,53.47567752,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,No WSCP stage invoked,No,1/15/2017,28122800,32991364,8436840,0,0,33000,G,NA,11734,54,NA,NA,0,No,28122800,32991364,8436840,54.11888254,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,0,No,12/15/2016,28552256,39286504,8565677,NA,NA,46000,G,NA,11699,55,NA,NA,0,No,28552256,39286504,8565677,55.10969838,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,11/15/2016,31625060,46770676,9487518,NA,NA,138000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,63,NA,NA,0,No,31625060,46770676,9487518,63.07531128,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,10/15/2016,48599308,65737316,14579792,NA,NA,829000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,63,NA,NA,0,No,48599308,65737316,14579792,93.80320788,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,9/15/2016,62347024,74411424,18704107,NA,NA,2156000,G,NA,11699,125,NA,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,0,No,62347024,74411424,18704107,124.3494225,70,No Correction,North Coast,7,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,8/15/2016,65243480,77714004,19573044,NA,NA,1605592,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,126,NA,NA,0,No,65243480,77714004,19573044,125.9287008,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,7/15/2016,63964452,81123708,19189336,NA,NA,1932000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,123,NA,NA,0,No,63964452,81123708,19189336,123.4600046,70,No Correction,North Coast,7,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,None,No,6/15/2016,57514524,72659544,16354357,NA,NA,1757000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,115,NA,NA,0,No,57514524,72659544,16354357,114.7111343,70,No Correction,North Coast,7,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,5/15/2016,47071192,73164832,14121358,NA,NA,756000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,91,NA,NA,0.24,No,47071192,73164832,14121358,90.85373826,70,No Correction,North Coast,2,3,3,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,4/15/2016,35218036,52066064,101565411,NA,NA,378000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,70,NA,NA,0.24,No,35218036,52066064,101565411,70.24140297,70,No Correction,North Coast,2,3,3,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,3/15/2016,28651660,41250252,20056162,NA,NA,110000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,55,NA,NA,0.24,No,28651660,41250252,20056162,55.30156148,70,No Correction,North Coast,2,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,2/15/2016,26921072,33147892,8076322,NA,NA,95000,G,NOTE: Report is being revised to change population. Our population estimation is being lowered so that it is in line with the Department of Finance's estimation. No other part of the report has changed.,11699,56,NA,NA,0.24,No,25992759.17,33147892,7797828.138,55.54483112,70,No Correction,North Coast,2,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,1/15/2016,28003216,32992364,8400965,NA,NA,18900,G,NA,11699,54,NA,NA,0.24,No,28003216,32992364,8400965,54.04997725,70,No Correction,North Coast,2,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,12/15/2015,30972292,39291504,9291688,NA,11787451,75700,G,NA,11687,60,NA,NA,0.24,No,30972292,39291504,9291688,59.84207542,70,No Correction,North Coast,2,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,11/15/2015,35675164,46770676,10702549,NA,NA,334000,G,NA,11687,71,NA,NA,0.24,No,35675164,46770676,10702549,71.22619092,70,No Correction,North Coast,2,3,2,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,10/15/2015,50786872,65737316,169289573,19721194,NA,1025845,G,NA,11687,98,NA,NA,0.24,No,50786872,65737316,169289573,98.12615175,70,No Correction,North Coast,2,2,2,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,9/15/2015,51518488,74411424,NA,NA,NA,1209564,G,NA,11687,103,NA,NA,0.24,No,51518488,74411424,Null,102.8577097,70,No Correction,North Coast,2,3,3,2,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,8/15/2015,57800732,77714004,NA,NA,NA,2127000,G,NA,11687,111,NA,NA,0.24,No,57800732,77714004,Null,111.6777462,70,No Correction,North Coast,2,10,10,6,0,0,NA
Healdsburg  City of,CA4910005,Stage 2,Yes,7/15/2015,58491604,81121708,17547481,0,0,1322000,G,NA,11687,113,NA,NA,0.24,No,58491604,81121708,17547481,113.0125913,70,No Correction,North Coast,2,5,5,2,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,6/15/2015,50584088,72659544,15175226,0,0,1555000,G,NA,11687,100,NA,NA,0.24,No,50584088,72659544,15175226,100.9921611,70,No Correction,North Coast,2,25,25,22,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,5/15/2015,48401596,73164832,14520479,0,0,1144020,G,NA,11687,93,NA,"On May 18th, City Council adopted a resolution to restrict outdoor water use to two days per week - Tuesdays and Fridays. This is in addition to the other Stage 2 Mandatory Water Conservation Measures enacted in January 2014. In addition, the Council increased the lawn conversion rebate to $1/SF from $0.5/SF and increased the cap to 5,000 SF for residential projects and 10,000 SF for commercial projects. The City will also now offer irrigation system audits and rebates for irrigation system upgrades. In May, rebates were paid for: the removal of 10,000 SF of turf, replacement of 8 clothes washers; and replacement of 5 toilets.",NULL,No,48401596,73164832,14520479,93.51752071,70,No Correction,North Coast,2,15,5,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,4/15/2015,41831052,52066064,NA,NA,NA,462000,G,Revised to correct: monthly production number; 2013 usage; and recycled water,11687,83,NA,"• Obtained a 20% reduction in 2015 vs 2013 water usage. • Continued to offer turf removal rebate. • Continued to offer low-flow toilet installation rebate, providing rebates for the installation of three low flow toilets. • Continued to participate in the Sonoma County Water Agency’s High Efficiency Fixture Direct-Install Program. • Worked with agriculture customers for future connection to the recycled water line. • Advertised drought tolerant landscape and lawn conversion rebate in the Healdsburg Tribune.",NULL,No,41831052,52066064,Null,83.51654659,70,No Correction,North Coast,3,5,5,3,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,3/15/2015,39526468,41250252,NA,NA,NA,302000,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; misreported 2013 production; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11687,76,NA,"• Obtained a 4% reduction in 2015 vs 2013 water usage. • Continued to offer turf removal rebate. • Continued to offer low-flow toilet installation rebate, providing rebates for the installation of three low flow toilets. • Continued to participate in the Sonoma County Water Agency’s High Efficiency Fixture Direct-Install Program. • Worked with agriculture customers for future connection to the recycled water line. • Advertised drought tolerant landscape and lawn conversion rebate in the Healdsburg Tribune.",NULL,No,39526468,41250252,Null,76.36973974,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,2/15/2015,27969568,33147892,NA,NA,NA,1.00E+05,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; misreported 2013 production; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11687,59,NA,NA,NULL,No,27969568,33147892,Null,59.83051254,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,1/15/2015,29273780,32992364,NA,NA,NA,133590,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; misreported 2013 production; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11687,56,NA,NA,NULL,No,29273780,32992364,Null,56.56035242,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,12/15/2014,29511732,39291504,NA,NA,NA,13788,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11564,57,NA,"• Obtained a 24% reduction in 2014 vs 2013 water usage; • Continued to offer turf removal rebate, providing three rebates for a total of 5,106 sq ft of turf removed; • Continued to offer low-flow toilet installation rebate, providing rebates for installation of three low flow toilets; • Participated in the Sonoma County Water Agency’s High Efficiency Fixture Direct-Install Program, installing 26 low-flow toilets.",NULL,No,29511732,39291504,Null,57.62659533,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,11/15/2014,34435604,46770676,NA,NA,NA,528000,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11564,69,NA,"During the month of November, The City of Healdsburg: • Continued to issue new permits for the Trucking Recycled Water Program; • Worked with agriculture customers for future connection to the recycled water line; • Obtained a 24% reduction in 2014 vs 2013 water usage; • Continued to offer turf removal rebate, completing 4 inspections; • The City hired Meg Lawrence as Utility Conservation Analyst to coordinate, implement and drive utility conservation and efficiency programs. She started November 12th.",NULL,No,34435604,46770676,Null,69.48265537,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,10/15/2014,50594372,65737316,NA,NA,NA,1792000,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates,11564,98,NA,"During the month of October, the City of Healdsburg: • Continued to issue new permits for the Trucking Recycled Water Program; • Worked with agriculture customers for future connection to the recycled water line; • Obtained a 25% reduction in 2014 vs 2013 water usage; • Continued to offer turf removal rebate, completing 6 inspections; • The City performed interviews for a Utility Conservation Analyst to coordinate, implement and drive utility conservation and efficiency programs.",NULL,No,50594372,65737316,Null,98.79397797,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,9/15/2014,55604836,74411424,NA,NA,NA,781900,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11564,112,NA,NA,NULL,No,55604836,74411424,Null,112.1970056,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,8/15/2014,66691940,77714000,NA,NA,NA,1530000,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11564,130,NA,"HEALDSBURG'S CONSERVATION ACTIONS 1 June 2013 - Implemented Stage I Voluntary Water Conservation Measures 2 January 2014 - Implemented Stage II Mandatory Water Conservation Measures 3 March 2014 - Implemented Water Conservation Rebate Program 4 April 2014 - Received State Approval to Utilize Recycled Water for Construction Purposes 5 May 5th - Received State Approval to Utilize Recycled Water for Agricultural Irrigation 6 July 2014 - Increased enforcement actions, code enforcement letters sent to customers violating stage 2 requirements 7 September 2014 - Direct-Install Program and the Turf Replacement Rebate Program Initiated throught County, 175 low flow toilets scheduled for install",NULL,No,66691940,77714000,Null,130.2271733,70,No Correction,North Coast,3,0,0,0,0,0,NA
Healdsburg  City of,CA4910005,2,Yes,7/15/2014,72535768,81121708,NA,NA,NA,785500,G,Revised report submitted to correct: production numbers adjusted due to City acting as a wholesaler; percentage residential use corrected; and population served adjusted to match California Department of Finance population estimates.,11564,141,NA,HEALDSBURG'S CONSERVATION ACTIONS 1 June 2013 - Implemented Stage I Voluntary Water Conservation Measures 2 January 2014 - Implemented Stage II Mandatory Water Conservation Measures 3 March 2014 - Implemented Water Conservation Rebate Program 4 April 2014 - Received State Approval to Utilize Recycled Water for Construction Purposes 5 May 5th - Received State Approval to Utilize Recycled Water for Agricultural Irrigation,NULL,No,72535768,81121708,Null,141.6382254,70,No Correction,North Coast,3,0,0,0,0,0,NA
